Work Item Type,Title,Parent
Task,Project Plan Updates,11
Task,Site Map & Wireframes,11
Task,GitHub Initialization,11
Task,Document Compilation,11
Task,Azure DevOps Tracking,12
Task,UI & Input Controls,12
Task,Auth & Logic Modules,12
Task,Database Construction,12
Task,CI/CD & Testing,12
Task,App Demo Video,12
Task,Documentation & Release,12
Task,Publication Prep,12
Task,PowerPoint Prep,12
Task,Final Document Merge,13
Task,Reflective Annexures,13
Task,README Finalization,13
Task,AI Tool Write-up,13
Task,Final Code Submission,13
